UB mesh mode: 32 GPUs with full mesh connectivity (no switches)
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 18: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 19: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 20: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 21: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 22: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 23: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 24: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 25: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 26: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 27: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 28: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 29: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 30: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 31: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 11: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 12: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 13: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 14: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 15: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 16: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 17: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 18: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 19: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 20: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 21: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 22: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 23: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 24: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 25: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 26: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 10 <-> 27: delay=1000ns, bw=2000000000000
