[TOPOLOGY_DEBUG] Setting up network topology:
[TOPOLOGY_DEBUG]   node_num=32 gpus_per_server=8
[TOPOLOGY_DEBUG]   nvswitch_num=0 switch_num=0
[TOPOLOGY_DEBUG]   link_num=496 enable_ub_mesh=0
[UB_MESH_DEBUG] Detected UB mesh topology - implementing distributed routing
[LINK_DEBUG] Creating link 146: src=5 dst=7 rate=7200Gbps delay=0.000025ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 147: src=5 dst=8 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 148: src=5 dst=9 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 149: src=5 dst=10 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 150: src=5 dst=11 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 151: src=5 dst=12 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 152: src=5 dst=13 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 153: src=5 dst=14 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 154: src=5 dst=15 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 155: src=5 dst=16 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 156: src=5 dst=17 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 157: src=5 dst=18 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 158: src=5 dst=19 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 159: src=5 dst=20 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 160: src=5 dst=21 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 161: src=5 dst=22 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 162: src=5 dst=23 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 163: src=5 dst=24 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 164: src=5 dst=25 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 165: src=5 dst=26 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 166: src=5 dst=27 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 167: src=5 dst=28 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 168: src=5 dst=29 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 169: src=5 dst=30 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 170: src=5 dst=31 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=5
[LINK_DEBUG] Creating link 171: src=6 dst=7 rate=7200Gbps delay=0.000025ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 172: src=6 dst=8 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 173: src=6 dst=9 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 174: src=6 dst=10 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 175: src=6 dst=11 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 176: src=6 dst=12 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
